queue_rank,probe_id,anchor_type,recipe,anchor_id,anchor_signal_role,anchor_strategy_role,trigger_id,trigger_signal_role,trigger_strategy_role,probe_timeframe,instruments,compatibility_prior_score,signal_density_score,signal_density_bucket,signal_balance_bucket,trigger_active_percent,trigger_event_count,forward_response_prior_score,forward_response_prior_bucket,best_forward_context,strong_cell_count,recipe_fit_score,pair_prior_score,pair_prior_label,pair_prior_bucket,pair_issue,shared_base_indicator,anchor_timeframe,profile_path,result_dir
1,l3-001-rsi-mean-reversion-channel-reentry-m5,mean_reversion,mean_reversion_reclaim,RSI_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",89.3,90.0,usable,balanced,7.4925,2997,75.0,context_dependent_forward_response,USDJPY M5 long 1,8,76.0,89.34,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-001-rsi-mean-reversion-channel-reentry-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-001-rsi-mean-reversion-channel-reentry-m5
2,l3-002-toby-crabel-narrow-range-pmo-crossover-m5,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",91.7,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,78.0,88.97,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-002-toby-crabel-narrow-range-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-002-toby-crabel-narrow-range-pmo-crossover-m5
3,l3-003-bbands-position-mean-reversion-channel-reentry-m5,mean_reversion,mean_reversion_reclaim,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",86.9,90.0,usable,balanced,7.4925,2997,75.0,context_dependent_forward_response,USDJPY M5 long 1,8,76.0,88.57,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-003-bbands-position-mean-reversion-channel-reentry-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-003-bbands-position-mean-reversion-channel-reentry-m5
4,l3-004-kalman-velocity-confirm-pmo-crossover-m5,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",90.5,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,76.0,88.27,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-004-kalman-velocity-confirm-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-004-kalman-velocity-confirm-pmo-crossover-m5
5,l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",92.3,90.0,usable,balanced,8.485,1173,66.16,context_dependent_forward_response,USDJPY M5 long 24,2,76.0,87.82,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5
6,l3-006-adx-pmo-crossover-m5,trend,trend_pullback_continuation,ADX,filter,,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",86.5,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,76.0,86.99,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-006-adx-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-006-adx-pmo-crossover-m5
7,l3-007-toby-crabel-narrow-range-market-mode-transition-m15,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",89.3,90.0,usable,balanced,7.435,1487,65.16,context_dependent_forward_response,USDJPY M15 long 6,3,78.0,86.9,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-007-toby-crabel-narrow-range-market-mode-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-007-toby-crabel-narrow-range-market-mode-transition-m15
8,l3-008-ma-slope-trend-pmo-crossover-m5,trend,trend_pullback_continuation,MA_SLOPE_TREND,context,trend,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",85.7,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,76.0,86.73,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-008-ma-slope-trend-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-008-ma-slope-trend-pmo-crossover-m5
9,l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5,compression,breakout_compression_release,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",84.1,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,78.0,86.54,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5
10,l3-010-adx-toby-crabel-narrow-range-m5,trend,trend_pullback_continuation,ADX,filter,,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",88.3,90.0,usable,balanced,8.485,1173,66.16,context_dependent_forward_response,USDJPY M5 long 24,2,76.0,86.54,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-010-adx-toby-crabel-narrow-range-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-010-adx-toby-crabel-narrow-range-m5
