queue_rank,probe_id,timing_rank,timing_probe_id,base_queue_rank,base_probe_id,variant_side,variant_indicator_id,variant_lookback_bars,baseline_lookback_bars,anchor_type,recipe,anchor_id,anchor_signal_role,anchor_strategy_role,trigger_id,trigger_signal_role,trigger_strategy_role,probe_timeframe,instruments,anchor_timeframe,pair_prior_score,pair_prior_bucket,baseline_status,baseline_composite_score,baseline_signal_count,baseline_best_expectancy_r,baseline_best_trades,baseline_best_profit_factor,profile_path,result_dir
1,l3b-001-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb2,1,l3b-001-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb2,1,l3-001-rsi-mean-reversion-channel-reentry-m5,trigger,CHANNEL_REENTRY,2,1,mean_reversion,mean_reversion_reclaim,RSI_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,89.34,probe_now,skipped_existing,0.0,729.0,-0.0869,713,0.8826,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-001-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb2.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-001-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb2
2,l3b-002-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb3,2,l3b-002-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb3,1,l3-001-rsi-mean-reversion-channel-reentry-m5,trigger,CHANNEL_REENTRY,3,1,mean_reversion,mean_reversion_reclaim,RSI_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,89.34,probe_now,skipped_existing,0.0,729.0,-0.0869,713,0.8826,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-002-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-002-l3-001-rsi-mean-reversion-channel-reentry-m5-tr-lb3
3,l3b-003-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb1,3,l3b-003-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb1,2,l3-002-toby-crabel-narrow-range-pmo-crossover-m5,trigger,PMO_CROSSOVER,1,2,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,88.97,probe_now,skipped_existing,0.0,455.0,-0.1084,446,0.7151,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-003-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-003-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb1
4,l3b-004-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb3,4,l3b-004-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb3,2,l3-002-toby-crabel-narrow-range-pmo-crossover-m5,trigger,PMO_CROSSOVER,3,2,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,88.97,probe_now,skipped_existing,0.0,455.0,-0.1084,446,0.7151,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-004-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-004-l3-002-toby-crabel-narrow-range-pmo-crossover-m5-tr-lb3
5,l3b-005-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb2,5,l3b-005-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb2,3,l3-003-bbands-position-mean-reversion-channel-reentry-m5,trigger,CHANNEL_REENTRY,2,1,mean_reversion,mean_reversion_reclaim,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,88.57,probe_now,skipped_existing,0.0,1236.0,-0.067,1207,0.8054,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-005-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb2.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-005-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb2
6,l3b-006-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb3,6,l3b-006-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb3,3,l3-003-bbands-position-mean-reversion-channel-reentry-m5,trigger,CHANNEL_REENTRY,3,1,mean_reversion,mean_reversion_reclaim,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,88.57,probe_now,skipped_existing,0.0,1236.0,-0.067,1207,0.8054,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-006-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-006-l3-003-bbands-position-mean-reversion-channel-reentry-m5-tr-lb3
7,l3b-007-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb1,7,l3b-007-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb1,4,l3-004-kalman-velocity-confirm-pmo-crossover-m5,trigger,PMO_CROSSOVER,1,2,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,88.27,probe_now,skipped_existing,0.0,115.0,-0.0751,109,0.9086,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-007-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-007-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb1
8,l3b-008-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb3,8,l3b-008-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb3,4,l3-004-kalman-velocity-confirm-pmo-crossover-m5,trigger,PMO_CROSSOVER,3,2,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,88.27,probe_now,skipped_existing,0.0,115.0,-0.0751,109,0.9086,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-008-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-008-l3-004-kalman-velocity-confirm-pmo-crossover-m5-tr-lb3
9,l3b-009-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb1,9,l3b-009-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb1,5,l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5,trigger,TOBY_CRABEL_NARROW_RANGE,1,2,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,87.82,probe_now,skipped_existing,0.0,688.0,-0.1555,685,0.645,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-009-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-009-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb1
10,l3b-010-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb3,10,l3b-010-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb3,5,l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5,trigger,TOBY_CRABEL_NARROW_RANGE,3,2,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,87.82,probe_now,skipped_existing,0.0,688.0,-0.1555,685,0.645,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-010-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-010-l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5-tr-lb3
