probe_id,queue_rank,anchor_type,anchor_id,trigger_id,probe_timeframe,pair_prior_score,pair_prior_bucket,profile_id,output_dir,status,primary_score,composite_score,score_basis,signal_count,best_expectancy_r,best_trades,best_win_rate,best_profit_factor,error
l3-001-rsi-mean-reversion-channel-reentry-m5,1,mean_reversion,RSI_MEAN_REVERSION,CHANNEL_REENTRY,M5,89.34,probe_now,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-001-rsi-mean-reversion-channel-reentry-m5,skipped_existing,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",729.0,-0.0869,713,0.3327,0.8826,
l3-002-toby-crabel-narrow-range-pmo-crossover-m5,2,compression,TOBY_CRABEL_NARROW_RANGE,PMO_CROSSOVER,M5,88.97,probe_now,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-002-toby-crabel-narrow-range-pmo-crossover-m5,skipped_existing,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",455.0,-0.1084,446,0.6611,0.7151,
l3-003-bbands-position-mean-reversion-channel-reentry-m5,3,mean_reversion,BBANDS_POSITION_MEAN_REVERSION,CHANNEL_REENTRY,M5,88.57,probe_now,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-003-bbands-position-mean-reversion-channel-reentry-m5,skipped_existing,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1236.0,-0.067,1207,0.6887,0.8054,
l3-004-kalman-velocity-confirm-pmo-crossover-m5,4,trend,KALMAN_VELOCITY_CONFIRM,PMO_CROSSOVER,M5,88.27,probe_now,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-004-kalman-velocity-confirm-pmo-crossover-m5,skipped_existing,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",115.0,-0.0751,109,0.348,0.9086,
l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5,5,trend,KALMAN_VELOCITY_CONFIRM,TOBY_CRABEL_NARROW_RANGE,M5,87.82,probe_now,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5,skipped_existing,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",688.0,-0.1555,685,0.6313,0.645,
l3-006-adx-pmo-crossover-m5,6,trend,ADX,PMO_CROSSOVER,M5,86.99,probe_now,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-006-adx-pmo-crossover-m5,skipped_existing,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1926.0,-0.0785,1889,0.681,0.7804,
l3-007-toby-crabel-narrow-range-market-mode-transition-m15,7,compression,TOBY_CRABEL_NARROW_RANGE,MARKET_MODE_TRANSITION,M15,86.9,probe_now,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-007-toby-crabel-narrow-range-market-mode-transition-m15,skipped_existing,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",125.0,-0.1205,120,0.6483,0.8483,
l3-008-ma-slope-trend-pmo-crossover-m5,8,trend,MA_SLOPE_TREND,PMO_CROSSOVER,M5,86.73,probe_now,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-008-ma-slope-trend-pmo-crossover-m5,skipped_existing,60.5492,60.5492,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",48.0,0.385,48,0.2838,1.817,
l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5,9,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,PMO_CROSSOVER,M5,86.54,probe_now,6a0f465e6007c16ad26e,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5,ok,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",2776.0,-0.0921,2659,0.5017,0.8612,
l3-010-adx-toby-crabel-narrow-range-m5,10,trend,ADX,TOBY_CRABEL_NARROW_RANGE,M5,86.54,probe_now,6a0f4670c4f7bf036aca,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-010-adx-toby-crabel-narrow-range-m5,ok,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1984.0,-0.0569,1955,0.6916,0.8337,
